дата_факт,регион,девелопер_корр,нейминг,м2,шт,микс,базовая,чистовая,локация SMLT,координаты,индекс,индекс_проект,дата,комментарий
01.12.2022,Москва,ЮИТ,Аалто,"80,6",1,23132200,23132200,25389000,0,0,,Аалто,01.01.2023,
01.12.2022,Москва,MR Group,Абрикосов,1301,9,1503060000,1503060000,1724230000,0,0,,Абрикосов,01.01.2023,
01.12.2022,Москва,Э.К. Девелопмент,Авиатика,"4059,7",53,1285673100,1204479100,1285673100,0,0,,Авиатика,01.01.2023,
01.12.2022,Москва,ПИК,Академика Павлова,"21233,7",398,6698936310,6698936310,6698936310,0,0,,Академика Павлова,01.01.2023,
01.12.2022,Москва,Wainbridge,Акватория,6075,51,2654365000,2654365000,2654365000,0,0,,Акватория,01.01.2023,
01.12.2022,Москва,Аквилон,Аквилон Бисайд,"13174,2",400,3688909358,3688909358,3688909358,0,0,,Аквилон Бисайд,01.01.2023,
01.12.2022,Москва,Аквилон,Аквилон Митино,"24026,5",617,5564598597,5564598597,5564598597,0,0,,Аквилон Митино,01.01.2023,
01.12.2022,Москва,Asterus Development,Алиа,"17377,6",237,5588487083,5534531783,5882083783,0,0,,Алиа,01.01.2023,
01.12.2022,Москва,Alcon,Алкон Тауэр,"1859,7",15,770172837,770172837,770172837,0,0,,Алкон Тауэр,01.01.2023,
01.12.2022,Москва,Ташир,Амбассадор,7789,48,0,0,0,0,0,,Амбассадор,01.01.2023,
01.12.2022,Москва,ПИК,Амурский Парк,"11708,5",280,2799454260,2799454260,2799454260,0,0,,Амурский Парк,01.01.2023,
01.12.2022,Москва,ПИК,Английский квартал,"1577,7",18,950995000,950995000,950995000,0,0,,Английский квартал,01.01.2023,
01.12.2022,Москва,СК Апартаменты в Кусково,Апартаменты в Кусково,"2358,4",133,588658696,588658696,588658696,0,0,,Апартаменты в Кусково,01.01.2023,
01.12.2022,Москва,Valartis,Артисан,"1838,5",9,2356004295,2356004295,2356004295,0,0,,Артисан,01.01.2023,
01.12.2022,Москва,ФСК,Архитектор,"13187,1",162,5171315005,4984175005,5604195005,0,0,,Архитектор,01.01.2023,
01.12.2022,Москва,Glorax,Аура Белорусская,"3088,5",47,1989129953,1989129953,1989129953,0,0,,Аура Белорусская,01.01.2023,
01.12.2022,Москва,AFI Development,Афи Парк Воронцовский,"11313,8",220,4987560852,4849336852,5246996852,0,0,,Афи Парк Воронцовский,01.01.2023,
01.12.2022,Москва,AFI Development,Афи Тауэр,"4375,2",145,1749045680,1632128180,1754633780,0,0,,Афи Тауэр,01.01.2023,
01.12.2022,Москва,СЗ Прогресс,Байрес,"4096,6",100,1364152634,1364152634,1364152634,0,0,,Байрес,01.01.2023,
01.12.2022,Москва,Главстрой Девелопмент,Баланс,"13924,7",298,4435432928,4156938928,4435432928,0,0,,Баланс,01.01.2023,
01.12.2022,Москва,РГ Девелопмент,Балтийский,"2200,1",26,755233000,755233000,755233000,0,0,,Балтийский,01.01.2023,
01.12.2022,Москва,Интеко,Балчуг Резиденс,"374,8",1,217196600,217196600,217196600,0,0,,Балчуг Резиденс,01.01.2023,
01.12.2022,Москва,ПИК,Барклая 6,"18953,7",298,6130717900,6056006200,6354853000,0,0,,Барклая 6,01.01.2023,
01.12.2022,Москва,MR Group,Басманный 5,"90,8",2,39900000,39900000,44440000,0,0,,Басманный 5,01.01.2023,
01.12.2022,Москва,КОРТРОС,Бауман Хаус,"959,5",13,415653800,415653800,415653800,0,0,,Бауман Хаус,01.01.2023,
01.12.2022,Москва,Ташир,Берег столицы,13135,21,10677170000,10677170000,10677170000,0,0,,Берег столицы,01.01.2023,
01.12.2022,Москва,Главстрой Девелопмент,Береговой,52975,630,28117549600,28117549600,28117549600,0,0,,Береговой,01.01.2023,
01.12.2022,Москва,СК Биг Пост,Биг Пост,234,11,87300360,87300360,87300360,0,0,,Биг Пост,01.01.2023,
01.12.2022,Москва,Lexion Development,Боген Хаус,"1347,2",8,1557625000,1548263000,1777287000,0,0,,Боген Хаус,01.01.2023,
01.12.2022,Москва,ПИК,Большая Академическая 85,"6821,4",162,1781797510,1761298710,1775940710,0,0,,Большая Академическая 85,01.01.2023,
01.12.2022,Москва,Белстрой,Большая Семерка,"8607,4",121,2648075999,2648075999,2648075999,0,0,,Большая Семерка,01.01.2023,
01.12.2022,Москва,Спецспортпроект,Бор,2065,20,0,0,0,0,0,,Бор,01.01.2023,
01.12.2022,Москва,ФСК,Боровая 34/24,"2891,1",40,795828265,775590565,856541365,0,0,,Боровая 34/24,01.01.2023,
01.12.2022,Москва,ПИК,Бусиновский парк,"11285,5",238,2418288210,2418288210,2418288210,0,0,,Бусиновский парк,01.01.2023,
01.12.2022,Москва,КП УГС,В Рассказовке,"186,9",1,22970571,22970571,22970571,0,0,,В Рассказовке,01.01.2023,
01.12.2022,Москва,Seven Suns Development,В стремлении к свету,"75,3",1,13177500,13177500,13177500,0,0,,В стремлении к свету,01.01.2023,
01.12.2022,Москва,СК Вавилово,Вавилово,"2781,1",16,1028000000,1028000000,1028000000,0,0,,Вавилово,01.01.2023,
01.12.2022,Москва,Capital Group,Вайт Хамовники,"779,2",7,1035430294,1035430294,1035430294,0,0,,Вайт Хамовники,01.01.2023,
01.12.2022,Москва,Стройвос,Вдохновение (Москва),"2525,5",44,702839540,702839540,702839540,0,0,,Вдохновение (Москва),01.01.2023,
01.12.2022,Москва,Крост,Велтон Парк,5965,85,1944881300,1944881300,1944881300,0,0,,Велтон Парк,01.01.2023,
01.12.2022,Москва,Glincom,Верди,"1588,9",26,585730043,585730043,585730043,0,0,,Верди,01.01.2023,
01.12.2022,Москва,Московский фонд реновации,Вернадского квартал 32-33,"353,1",10,90264560,90264560,90264560,0,0,,Вернадского квартал 32-33,01.01.2023,
01.12.2022,Москва,Интеко,Вест Гарден,"14471,9",181,7931038471,7689228471,8412823471,0,0,,Вест Гарден,01.01.2023,
01.12.2022,Москва,Ташир,Вест Тауэр,"13544,1",228,4668105400,4668105400,4668105400,0,0,,Вест Тауэр,01.01.2023,
01.12.2022,Москва,Интеко,Вестердам,"15518,6",274,5414341007,5248493007,5558865007,0,0,,Вестердам,01.01.2023,
01.12.2022,Москва,Ant Development,Виктори Парк Резиденс,"8577,5",86,7877789885,7191589885,7877789885,0,0,,Виктори Парк Резиденс,01.01.2023,
01.12.2022,Москва,УЭЗ,Вилл Тауэрс,"19158,8",250,6971466471,6971466471,6971466471,0,0,,Вилл Тауэрс,01.01.2023,
01.12.2022,Москва,Стройтэкс,Вилла Грейс,"1164,5",7,2090855040,2090855040,2090855040,0,0,,Вилла Грейс,01.01.2023,
01.12.2022,Москва,Larus Capital,Виталити,"243,9",5,96180000,96180000,96180000,0,0,,Виталити,01.01.2023,
01.12.2022,Москва,AB Development,Вишневый сад,"3805,2",25,4828949400,4828949400,4828949400,0,0,,Вишневый сад,01.01.2023,
01.12.2022,Москва,Шатер Девелопмент,Волга,"512,9",7,210500000,210500000,236145000,0,0,,Волга,01.01.2023,
01.12.2022,Москва,ПИК,Волжский парк,"13309,6",330,3088680670,3088680670,3088680670,0,0,,Волжский парк,01.01.2023,
01.12.2022,Москва,ПИК,Волоколамское 24,"15360,3",315,3583127200,3583127200,3583127200,0,0,,Волоколамское 24,01.01.2023,
01.12.2022,Москва,Бэсткон,Время,"1500,8",22,528258202,528258202,528258202,0,0,,Время,01.01.2023,
01.12.2022,Москва,Интеко,Врубеля 4,"5295,5",57,2693983278,2693983278,2693983278,0,0,,Врубеля 4,01.01.2023,
01.12.2022,Москва,УК Динамо,ВТБ Арена Парк,"632,7",4,431660859,431660859,431660859,0,0,,ВТБ Арена Парк,01.01.2023,
01.12.2022,Москва,ПИК,Второй Нагатинский,"18168,2",409,5153411950,5153411950,5153411950,0,0,,Второй Нагатинский,01.01.2023,
01.12.2022,Москва,AB Development,Вудс,9351,44,10551465260,10551465260,10551465260,0,0,,Вудс,01.01.2023,
01.12.2022,Москва,Основа,Вэри,"8556,8",148,3346976094,3198011094,3350506094,0,0,,Вэри,01.01.2023,
