регион,дата,девелопер,проект,м2,шт,локация SMLT,координаты,индекс,индекс_проект,АТД,кол-во месяцев для темпа
Москва,01.01.2023,3S Development,Талисман на Рокоссовского,"481,2",11,0,,,Талисман на Рокоссовского,0,11
НМ,01.01.2023,А101,Бунинские кварталы,"1812,4",38,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.541047, 37.475591]",4,4_Бунинские кварталы,НАО,11
НМ,01.01.2023,А101,Дзен-Кварталы,3488,73,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.551298, 37.476618]",5,5_Дзен-Кварталы,НАО,11
НМ,01.01.2023,А101,Испанские кварталы-2,"170,1",4,0,,,Испанские кварталы-2,0,11
НМ,01.01.2023,А101,Прокшино,"6849,2",132,0,,,Прокшино,0,11
НМ,01.01.2023,А101,Скандинавия Центр,2041,43,0,,,Скандинавия Центр,0,11
НМ,01.01.2023,А101,Скандинавия Юг,"1548,8",38,0,,,Скандинавия Юг,0,11
Москва,01.01.2023,А101,Южные сады,"2083,6",36,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.548671, 37.517377]",2,2_Южные сады,ЮЗАО,11
Москва,01.01.2023,Абсолют,Коллекция Лужники,"601,6",6,0,,,Коллекция Лужники,0,11
НМ,01.01.2023,Абсолют,Первый Московский,"3867,7",65,0,,,Первый Московский,0,11
НМ,01.01.2023,Абсолют,Переделкино Ближнее,"4330,5",72,0,,,Переделкино Ближнее,0,11
МО,01.01.2023,Абсолют,Резиденции Сколково,"1158,4",15,ЗАРЕЧЬЕ ПАРК,"[55.683224, 37.394101]",3,3_Резиденции Сколково,Одинцово городской округ,11
МО,01.01.2023,Аверус,Новоград Монино,"378,7",8,0,,,Новоград Монино,0,11
Москва,01.01.2023,Аквилон,Аквилон Бисайд,973,28,0,,,Аквилон Бисайд,0,11
Москва,01.01.2023,Аквилон,Аквилон Митино,"1701,5",45,0,,,Аквилон Митино,0,11
МО,01.01.2023,АМ Девелопмент,Две Столицы,"158,9",4,0,,,Две Столицы,0,11
МО,01.01.2023,Ареал,Карамельный,109,2,0,,,Карамельный,0,11
МО,01.01.2023,Ареал,Твин Хаус (Люберцы),"150,7",2,0,,,Твин Хаус (Люберцы),0,11
МО,01.01.2023,Арткласс Девелопмент,Смайл,"220,7",9,0,,,Смайл,0,11
МО,01.01.2023,Асдор,Усово Парк,"140,7",3,0,,,Усово Парк,0,11
МО,01.01.2023,Атлант,Лобня Сити,"287,6",6,0,,,Лобня Сити,0,11
Москва,01.01.2023,Белстрой,Большая Семерка,"61,2",1,0,,,Большая Семерка,0,11
МО,01.01.2023,Березовец,Атлантис,"256,1",4,0,,,Атлантис,0,11
МО,01.01.2023,Березовец,Лесной квартал,260,4,0,,,Лесной квартал,0,11
МО,01.01.2023,Брусника,Первый квартал,"70,6",2,0,,,Первый квартал,0,11
МО,01.01.2023,Веста Групп,Кратовоград,"80,3",2,0,,,Кратовоград,0,11
МО,01.01.2023,Волжский ДСК,Квартал С-3 (Дубна),"122,7",3,0,,,Квартал С-3 (Дубна),0,11
МО,01.01.2023,Гефест,Новый Катуар,"73,2",1,0,,,Новый Катуар,0,11
МО,01.01.2023,ГК ПЖИ,Бородино,"332,3",7,0,,,Бородино,0,11
Москва,01.01.2023,ГК Регионы,Дрим Тауэрс,"241,9",3,0,,,Дрим Тауэрс,0,11
Москва,01.01.2023,ГК Регионы,Преображенская площадь,"590,6",10,0,,,Преображенская площадь,0,11
Москва,01.01.2023,Главстрой,Баланс,"43,5",1,0,,,Баланс,0,11
Москва,01.01.2023,Главстрой,Береговой,41,1,0,,,Береговой,0,11
МО,01.01.2023,Главстрой,Квартал героев,"1522,9",32,КВАРТАЛ АВИАТОРОВ,"[55.737390, 38.001656]",5,5_Квартал героев,Балашиха городской округ,11
МО,01.01.2023,Главстрой,Столичный,"1674,5",36,КВАРТАЛ АВИАТОРОВ,"[55.740059, 38.030002]",4,4_Столичный,Балашиха городской округ,11
Москва,01.01.2023,Град,Город Дэйли,"294,6",11,0,,,Город Дэйли,0,11
МО,01.01.2023,Гранд МО,Соболевка Парк,"420,9",10,0,,,Соболевка Парк,0,11
МО,01.01.2023,Гранель,Аникеевский,"2091,1",56,ПЯТНИЦКИЕ ЛУГА / КВАРТАЛ САБУРОВО,"[55.818152, 37.200354]",3,3_Аникеевский,Красногорск городской округ,11
МО,01.01.2023,Гранель,Бригантина,"1408,8",32,МОЛЖАНИНОВО / КВАРТАЛ ИВАКИНО,"[55.948073, 37.483349]",2,2_Бригантина,Долгопрудный городской округ,11
МО,01.01.2023,Гранель,Живописный,"730,3",13,0,,,Живописный,0,11
